epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3819708228111267,9.999999747378752e-05,1.5820363759994507,0.4633602797985077,1.3999261856079102
1,0.0,9.999999747378752e-05,0.0,0.4633602797985077,1.3999261856079102
2,0.4737190306186676,9.999999747378752e-05,1.3696682453155518,0.5284201502799988,1.2434316873550415
3,0.0,9.999999747378752e-05,0.0,0.5284201502799988,1.243431806564331
4,0.5118952393531799,9.999999747378752e-05,1.284075140953064,0.5412371158599854,1.1827706098556519
5,0.0,9.999999747378752e-05,0.0,0.5412371158599854,1.1827706098556519
6,0.5342227220535278,9.999999747378752e-05,1.227659821510315,0.5504318475723267,1.1637027263641357
7,0.0,9.999999747378752e-05,0.0,0.5504318475723267,1.1637029647827148
8,0.5507680773735046,9.999999747378752e-05,1.1852753162384033,0.5700752139091492,1.1227017641067505
9,0.0,9.999999747378752e-05,0.0,0.5700752139091492,1.1227017641067505
10,0.5656762719154358,9.999999747378752e-05,1.1541448831558228,0.5599052906036377,1.1495258808135986
11,0.0,9.999999747378752e-05,0.0,0.5599052906036377,1.149525761604309
